id,name,type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,distance_raw_km,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,calories,workout_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility
4747286929,Morning Activity,AlpineSki,Alpine Ski,Alpine Ski,FALSE,,,"Sat, 2/6/2021",1612605178,2021-02-06T16:52:58+0000,Sat,17.23,17238,17.238,kilometers,km,3:17:12,11832,5:46:28,20788,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/Q3A4ZMSNSVGCKLIY54VSRUGS6X5ST6V6M6DL3NR5YOXVW7O6E7KB56EQTCRISIIWYLY5ALNYT4GFNML6IIYAVUDXKRA2QFAE,TRUE,FALSE,"1,220",m,1220,,https://www.strava.com/activities/4747286929,https://www.strava.com/activities/4747286929?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 17.2 kilometer Alpine Ski.,TRUE,FALSE,,3342,,FALSE,FALSE,FALSE,FALSE,everyone
4713874507,Lunch Activity,NordicSki,Nordic Ski,Nordic Ski,FALSE,,,"Sun, 1/31/2021",1612095043,2021-01-31T19:10:43+0000,Sun,14.47,14469,14.469,kilometers,km,55:28:00,3328,59:15:00,3555,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/YSBSVFNMT4IA4XVG3WMDCFV24UBBXPBQGIJJZMLTZDAN2SLIHD4SBNB3G4YFD4TJWENLGGMHUYNOY5XV6J6TH7Y6DOCLMIIA,TRUE,FALSE,179,m,179,,https://www.strava.com/activities/4713874507,https://www.strava.com/activities/4713874507?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 14.4 kilometer Nordic Ski.,TRUE,FALSE,,784,,FALSE,FALSE,FALSE,FALSE,everyone
4701021399,Morning Run,Run,Run,Run,FALSE,,,"Fri, 1/29/2021",1611914545,2021-01-29T17:02:25+0000,Fri,10.15,10154,10.154,kilometers,km,50:18:00,3018,53:41:00,3221,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/SMJ6SYZOCUVDD22OKKI2N2YNEGSDZUKKN4SJG4ATEM3LMS4Z4JHKASOJ7L6LJYGPUJKCXGYFIX7AXHDSWX64NOW45IKTPOHT,TRUE,FALSE,69,m,69,,https://www.strava.com/activities/4701021399,https://www.strava.com/activities/4701021399?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 10.1 kilometer Run.,TRUE,FALSE,,791,,FALSE,FALSE,FALSE,FALSE,everyone
4701018710,Morning Run,Run,Run,Run,FALSE,,,"Thu, 1/28/2021",1611828259,2021-01-28T17:04:19+0000,Thu,7.88,7879,7.879,kilometers,km,37:33:00,2253,44:54:00,2694,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/OTKPMVF65FTLBEUBY2DD2BWLVY7RV3DD6WZFRBCCJOKYJFK7HONZ7M3D2D6HI532RROL6P5FKSE23SXUKKIEBOQZWIG47ZJG,TRUE,FALSE,19,m,19,,https://www.strava.com/activities/4701018710,https://www.strava.com/activities/4701018710?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 7.8 kilometer Run.,TRUE,FALSE,,782,,FALSE,FALSE,FALSE,FALSE,everyone
4685704460,Morning Run,Run,Run,Run,FALSE,,,"Tue, 1/26/2021",1611656560,2021-01-26T17:22:40+0000,Tue,10.02,10024,10.024,kilometers,km,48:17:00,2897,51:38:00,3098,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/FAAZXVMAOA3PEBFJ4MBHVFPG327US4EF2UHXZ7BFSCP7K56KUDZLPWNQPPHH3P3U52LBRI4X6AZWGKDRN7UWX5LXXIPWQ22L,TRUE,FALSE,54,m,54,,https://www.strava.com/activities/4685704460,https://www.strava.com/activities/4685704460?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 10.0 kilometer Run.,TRUE,FALSE,,943,,FALSE,FALSE,FALSE,FALSE,everyone
4676079794,Lunch Run,Run,Run,Run,FALSE,,,"Sun, 1/24/2021",1611486966,2021-01-24T18:16:06+0000,Sun,9.94,9948,9.948,kilometers,km,54:00:00,3240,57:36:00,3456,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/Q4BKS6ZQBPVEIZXOF4LNLGE2OD7HD3GXZZ2IH5RSPMJBR5QN5YKFWPA7E6LUG5IHBE3L4WTKGZKWE2EA42FMARY3OBO3WCTS,TRUE,FALSE,220,m,220,,https://www.strava.com/activities/4676079794,https://www.strava.com/activities/4676079794?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 9.9 kilometer Run.,TRUE,FALSE,,1018,,FALSE,FALSE,FALSE,FALSE,everyone
4676077663,Morning Activity,AlpineSki,Alpine Ski,Alpine Ski,FALSE,,,"Fri, 1/22/2021",1611309362,2021-01-22T16:56:02+0000,Fri,46.76,46761,46.761,kilometers,km,2:48:40,10120,5:05:29,18329,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/WJ44XZWQY3NOTATKYRS6MQQW5NLFYLIF56X5BWUNLZN2CWDLJVSHTUZ2GSECRD7CNNFH2AFGVYNIDMPKXYGCJKVK4YJF6KYK,TRUE,FALSE,"4,287",m,4287.42,,https://www.strava.com/activities/4676077663,https://www.strava.com/activities/4676077663?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 46.7 kilometer Alpine Ski.,TRUE,FALSE,,1208,,FALSE,FALSE,FALSE,FALSE,everyone
4648027998,Morning Run,Run,Run,Run,FALSE,,,"Tue, 1/19/2021",1611050513,2021-01-19T17:01:53+0000,Tue,5.5,5505,5.505,kilometers,km,25:41:00,1541,27:59:00,1679,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/NN657R3PWT64FDFTGVBQKEPLY4JHNQGMY7ARQJ5JXFWLN3LPOTG57JUI4I43VT3BMPEIAYZH464ZG2YYRYT4CR67NMJZLQAE,TRUE,FALSE,34,m,34,,https://www.strava.com/activities/4648027998,https://www.strava.com/activities/4648027998?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 5.5 kilometer Run.,TRUE,FALSE,,563,,FALSE,FALSE,FALSE,FALSE,everyone
4638182806,Lunch Run,Run,Run,Run,FALSE,,,"Sun, 1/17/2021",1610882873,2021-01-17T18:27:53+0000,Sun,8.49,8497,8.497,kilometers,km,44:40:00,2680,45:10:00,2710,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/UMJUVXDNVCTKFIVN6QBEH35RI374E7VOLDTL57S5KXZXNJXCNB4RNSEBYZ4A5QEIZJ7GWEESF6UDAVYVRLESUBZ2AV7ZYOVK,TRUE,FALSE,47,m,47,,https://www.strava.com/activities/4638182806,https://www.strava.com/activities/4638182806?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 8.4 kilometer Run.,TRUE,FALSE,,728,,FALSE,FALSE,FALSE,FALSE,everyone
4638181474,Morning Run,Run,Run,Run,FALSE,,,"Thu, 1/14/2021",1610621025,2021-01-14T17:43:45+0000,Thu,2.51,2517,2.517,kilometers,km,12:27,747,18:00,1080,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/TBJV4WUP5OIELMDSAV6K55T3IJOMNQ6GI7GBNRF5OOSXBTJ4ZTJA2T4CUXQAFYU5AKOYFCPXDZBA7FBGQACVQXPWTS5Z4WHY,TRUE,FALSE,16,m,16,,https://www.strava.com/activities/4638181474,https://www.strava.com/activities/4638181474?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 2.5 kilometer Run.,TRUE,FALSE,,126,,FALSE,FALSE,FALSE,FALSE,everyone
4579032900,Morning Run,Run,Run,Run,FALSE,,,"Wed, 1/6/2021",1609927508,2021-01-06T17:05:08+0000,Wed,8.35,8355,8.355,kilometers,km,43:12:00,2592,48:03:00,2883,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/GZBGWIXTKX3PJIYQQSZO5URJYSVHY4APACSSX3AWGVBNH3CSADGJMQ65Y5Z5LOJ5YOJI42BFLMTTE7KW4WRMOFSDJN6FEQ6G,TRUE,FALSE,111,m,111,,https://www.strava.com/activities/4579032900,https://www.strava.com/activities/4579032900?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 8.3 kilometer Run.,TRUE,FALSE,,942,,FALSE,FALSE,FALSE,FALSE,everyone
4569184553,Night Run,Run,Run,Run,FALSE,,,"Mon, 1/4/2021",1609797999,2021-01-05T05:06:39+0000,Mon,6.22,6221,6.221,kilometers,km,29:40:00,1780,30:51:00,1851,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/SMNIRCOO5W4SIWXXPVUJUDBQAKPAUHJVYYPDIH6TJR3SJDOVTBAVVA3FZRFQGBDMZP36CWL74CIRWVZCP4WXXF7RFRCGJU7L,TRUE,FALSE,19,m,19,,https://www.strava.com/activities/4569184553,https://www.strava.com/activities/4569184553?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 6.2 kilometer Run.,TRUE,FALSE,,590,,FALSE,FALSE,FALSE,FALSE,everyone
4557384427,Morning Activity,AlpineSki,Alpine Ski,Alpine Ski,FALSE,,,"Sat, 1/2/2021",1609577388,2021-01-02T15:49:48+0000,Sat,59.32,59324,59.324,kilometers,km,4:30:07,16207,7:04:21,25461,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/ZBVRCBEDS2VIGT7SVKNKA5YYSCPRCNU5RXYVLNJQBFR6AH2I23XLVJKH2C2CS2IIDOYJ2LVY6M3E64VURWR7GXMLIBZ4ZGYP,TRUE,FALSE,"6,561",m,6561.42,,https://www.strava.com/activities/4557384427,https://www.strava.com/activities/4557384427?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 59.3 kilometer Alpine Ski.,TRUE,FALSE,,1545,,FALSE,FALSE,FALSE,FALSE,everyone
4546936493,Lunch Run,Run,Run,Run,FALSE,,,"Thu, 12/31/2020",1609418221,2020-12-31T19:37:01+0000,Thu,6.67,6672,6.672,kilometers,km,1:26:30,5190,1:31:24,5484,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/IJVNNSHZ6N6N66BSPWGJ2XTVX3ROWWLOPP75KNXGYINHOAATDDPO376ID3YGMDCEJSJQOQWFNRZUHPJEIMNWKEONDR2ICTDS,TRUE,FALSE,3,m,3,,https://www.strava.com/activities/4546936493,https://www.strava.com/activities/4546936493?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 6.6 kilometer Run.,TRUE,FALSE,,834,,FALSE,FALSE,FALSE,FALSE,everyone
4536355851,Lunch Activity,NordicSki,Nordic Ski,Nordic Ski,FALSE,,,"Tue, 12/29/2020",1609242943,2020-12-29T18:55:43+0000,Tue,19.07,19073,19.073,kilometers,km,1:30:57,5457,2:24:41,8681,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/NUZLWIMHFJIITFCGHQUPNL36VRG5KK2C3HXHYGXK2P5UPJVTUPJU75K2AJOWDQCC2WY7RNTBNL2SQBSZJD23TN3HHJFTXEDD,TRUE,FALSE,244,m,244,,https://www.strava.com/activities/4536355851,https://www.strava.com/activities/4536355851?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 19.0 kilometer Nordic Ski.,TRUE,FALSE,,215,,FALSE,FALSE,FALSE,FALSE,everyone
4521467660,Chasing a Ball,Run,Run,Run,FALSE,,,"Sat, 12/26/2020",1608983330,2020-12-26T19:48:50+0000,Sat,2.39,2393,2.393,kilometers,km,6:46,406,8:02,482,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/26DBHGDK6R2TAQV6PCA7BAFT4VTYN5OEAFAQJTH7IK5TV6BEAVFIZBJK5AVCNKRACM7KFSWLU4FKPOE56SV4JVJELGBXLIVB,TRUE,FALSE,22,m,22,,https://www.strava.com/activities/4521467660,https://www.strava.com/activities/4521467660?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 2.3 kilometer Run.,TRUE,FALSE,,69,0,FALSE,FALSE,FALSE,FALSE,everyone
4493460403,Lunch Activity,NordicSki,Nordic Ski,Nordic Ski,FALSE,,,"Sat, 12/19/2020",1608376441,2020-12-19T18:14:01+0000,Sat,6.32,6321,6.321,kilometers,km,28:56:00,1736,43:26:00,2606,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/CTKP64GPJYVRIN2I6WQUQWVJOC5ORQTIF2ZPCD2WKOB5OO7JWO4T4AHAOHFZ3UQUPW2BJFK4657YZDSYVKG3NMH57CE54TTC,TRUE,FALSE,85,m,85,,https://www.strava.com/activities/4493460403,https://www.strava.com/activities/4493460403?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 6.3 kilometer Nordic Ski.,TRUE,FALSE,,314,,FALSE,FALSE,FALSE,FALSE,everyone
4485678571,Morning Run,Run,Run,Run,FALSE,,,"Thu, 12/17/2020",1608200473,2020-12-17T17:21:13+0000,Thu,9.17,9171,9.171,kilometers,km,54:08:00,3248,1:00:58,3658,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/TV6GH74FN7YUE2QP7LN6XS6SBTXY3ODYELKGRNSZZAH4AU7JKOI752Z3YMSOSS47H6GXTWZYNXZWTURZONVCTQYYXYS5NAUG,TRUE,FALSE,132,m,132,,https://www.strava.com/activities/4485678571,https://www.strava.com/activities/4485678571?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 9.1 kilometer Run.,TRUE,FALSE,,902,,FALSE,FALSE,FALSE,FALSE,everyone
4478276378,Evening Ride,Ride,Ride,Ride,FALSE,,,"Tue, 12/15/2020",1608055618,2020-12-16T02:06:58+0000,Tue,0,0,0,kilometers,km,1:04:43,3883,1:04:43,3883,TRUE,,FALSE,FALSE,0,m,0,,https://www.strava.com/activities/4478276378,https://www.strava.com/activities/4478276378?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0 kilometer Ride.,TRUE,FALSE,,846,,FALSE,FALSE,FALSE,FALSE,everyone
4469971487,Evening Ride,Ride,Ride,Ride,FALSE,,,"Sun, 12/13/2020",1607884475,2020-12-14T02:34:35+0000,Sun,0,0,0,kilometers,km,1:03:22,3802,1:03:22,3802,TRUE,,FALSE,FALSE,0,m,0,,https://www.strava.com/activities/4469971487,https://www.strava.com/activities/4469971487?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0 kilometer Ride.,TRUE,FALSE,,865,,FALSE,FALSE,FALSE,FALSE,everyone
4235128879,Afternoon Ride,Ride,Ride,Ride,FALSE,,,"Sat, 10/24/2020",1603551167,2020-10-24T01:52:47+0000,Sat,21.59,21592,21.592,kilometers,km,1:09:39,4179,2:10:10,7810,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/NLPV4BK5Q3I66O23F4NCOCXRZUFPNCXIEC3RXDXRSQF7CYWFYPPY7PBEILS3KLJWJPNYG2R4JDBMV4UJTJ6FGTTQJ2ISSSA6,TRUE,FALSE,205,m,205,,https://www.strava.com/activities/4235128879,https://www.strava.com/activities/4235128879?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 21.5 kilometer Ride.,TRUE,FALSE,,1266,,FALSE,FALSE,FALSE,FALSE,everyone
4223321822,Evening Ride,Ride,Ride,Ride,FALSE,,,"Wed, 10/21/2020",1603307496,2020-10-21T06:11:36+0000,Wed,17.36,17367,17.367,kilometers,km,36:00:00,2160,38:35:00,2315,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/FBG7ORL6YLZMSUHYXMUI5DMHXYVDKPDBNTBBJHI6TOYIV6KYWOFAHZMGB2DCYSKV6YBH3T3JGX4V5RRL56MSS2FCR53D6ORP,TRUE,FALSE,193,m,193,,https://www.strava.com/activities/4223321822,https://www.strava.com/activities/4223321822?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 17.3 kilometer Ride.,TRUE,FALSE,,479,,FALSE,FALSE,FALSE,FALSE,everyone
